16/08/2019 12:00,b'@mk_ultros My Amazon FC Ambassador wife left me','@mk_ultros My Amazon FC Ambassador wife left me'
16/08/2019 12:00,"b""@b_0wser These fucksticks that run YT can't make you quit shit! That's a dying platform anyway! \xf0\x9f\x96\x95YouTube! Amazon sh\xe2\x80\xa6 https://t.co/ZuiqYkq8Zj""","""@b_0wser These fucksticks that run YT can't make you quit shit! That's a dying platform anyway! \xf0\x9f\x96\x95YouTube! Amazon sh\xe2\x80\xa6 https://t.co/ZuiqYkq8Zj"""
16/08/2019 12:00,b'Does anyone else remember amazon hiring team trying to brainwash us some sap story that Bezos was just a down to ea\xe2\x80\xa6 https://t.co/cSzcS7kXIR','Does anyone else remember amazon hiring team trying to brainwash us some sap story that Bezos was just a down to ea\xe2\x80\xa6 https://t.co/cSzcS7kXIR'
16/08/2019 12:00,b'@RacistMommysBoy @KawfeeKawakami @JeffBezos @AmazonHelp He loves his job and is satisfied working at Amazon!','@RacistMommysBoy @KawfeeKawakami @JeffBezos @AmazonHelp He loves his job and is satisfied working at Amazon!'
16/08/2019 12:00,"b'Same exact thing that happened with my Amazon delivery, is happening with my other package fmllll'","'Same exact thing that happened with my Amazon delivery, is happening with my other package fmllll'"
16/08/2019 12:00,b'https://t.co/MaMFRamliO: Another World: kakicchysmusic: MP3 Downloads https://t.co/xgSR7Vxdi8 #Amazon #Prime','https://t.co/MaMFRamliO: Another World: kakicchysmusic: MP3 Downloads https://t.co/xgSR7Vxdi8 #Amazon #Prime'
16/08/2019 12:00,"b""@culturaldestiny @MommaLuvsManga Ah, I ordered this the other day, and I'm just waiting on Amazon JP to have stock\xe2\x80\xa6 https://t.co/omgDFYQ8iW""","""@culturaldestiny @MommaLuvsManga Ah, I ordered this the other day, and I'm just waiting on Amazon JP to have stock\xe2\x80\xa6 https://t.co/omgDFYQ8iW"""
16/08/2019 12:00,b'I have to stay off Amazon \xf0\x9f\x98\x92','I have to stay off Amazon \xf0\x9f\x98\x92'
16/08/2019 12:00,b'@MrsRobinAllen Change https://t.co/YxoeKp0CuQ to https://t.co/RNZ3pRVOuW. easy workaround','@MrsRobinAllen Change https://t.co/YxoeKp0CuQ to https://t.co/RNZ3pRVOuW. easy workaround'
16/08/2019 12:00,b'@Futipolo @prayingmedic Thanks for the clarification &amp; info! I was sure that if you review a book while logged in v\xe2\x80\xa6 https://t.co/g2Dm69pVeX','@Futipolo @prayingmedic Thanks for the clarification &amp; info! I was sure that if you review a book while logged in v\xe2\x80\xa6 https://t.co/g2Dm69pVeX'
16/08/2019 12:00,b'@AmazonHelp Amazon support ==&gt; Amazon Logistics Support==&gt; Amazon support for Social Media? How much support do you need!?','@AmazonHelp Amazon support ==&gt; Amazon Logistics Support==&gt; Amazon support for Social Media? How much support do you need!?'
16/08/2019 12:00,b'@Naomi_Swann The Amazon link is broken.','@Naomi_Swann The Amazon link is broken.'
16/08/2019 12:00,b'@Amazon_Queenn @smac0905 She only named 8 people and had to include entertainers to get that many. Smh','@Amazon_Queenn @smac0905 She only named 8 people and had to include entertainers to get that many. Smh'
16/08/2019 12:00,"b'@suzatweet I think this issue is related to the human perception of ""free will"". Daniel Dennet\'s discussion is help\xe2\x80\xa6 https://t.co/XXXO5xLY10'","'@suzatweet I think this issue is related to the human perception of ""free will"". Daniel Dennet\'s discussion is help\xe2\x80\xa6 https://t.co/XXXO5xLY10'"
16/08/2019 12:00,"b'@zxjqx i am in the First and Second pic with you my wonderful wife, who works at Amazon where we work'","'@zxjqx i am in the First and Second pic with you my wonderful wife, who works at Amazon where we work'"
16/08/2019 12:00,"b""@stefsanjati That last one really got me.. \xf0\x9f\x91\x80\xf0\x9f\x91\x80\xf0\x9f\x91\x80 I've never been actually terrified of a company like I am with amazon.""","""@stefsanjati That last one really got me.. \xf0\x9f\x91\x80\xf0\x9f\x91\x80\xf0\x9f\x91\x80 I've never been actually terrified of a company like I am with amazon."""
16/08/2019 12:00,b'@elxexna Da gamestop o amazon!','@elxexna Da gamestop o amazon!'
16/08/2019 12:00,"b""@pencilears the usps can't lose business because Linda has no actual choice in who she uses, especially since 90% o\xe2\x80\xa6 https://t.co/NEVK5OdEVJ""","""@pencilears the usps can't lose business because Linda has no actual choice in who she uses, especially since 90% o\xe2\x80\xa6 https://t.co/NEVK5OdEVJ"""
16/08/2019 12:00,b'Hey @amazon you guys ever thought about doing a program that customers can get points for all the boxes they return\xe2\x80\xa6 https://t.co/TLNLOq9TyO','Hey @amazon you guys ever thought about doing a program that customers can get points for all the boxes they return\xe2\x80\xa6 https://t.co/TLNLOq9TyO'
16/08/2019 12:00,"b'@MollyJongFast Bosch on Amazon.  Great series, excellent cast.'","'@MollyJongFast Bosch on Amazon.  Great series, excellent cast.'"
16/08/2019 15:00,"b""we're going to be touring an amazon fufillment center this semester of school""","""we're going to be touring an amazon fufillment center this semester of school"""
16/08/2019 15:00,b'airbnb picked me to do a survey for a $75 amazon gift card! \xf0\x9f\x98\x84 i dont know what to get.','airbnb picked me to do a survey for a $75 amazon gift card! \xf0\x9f\x98\x84 i dont know what to get.'
16/08/2019 15:00,"b'@Iron_Spike Grew up on blacurrants and Ribena (mom was Finnish so of course), have to try these. \n\n(You may have he\xe2\x80\xa6 https://t.co/Ro0VN6moUH'","'@Iron_Spike Grew up on blacurrants and Ribena (mom was Finnish so of course), have to try these. \n\n(You may have he\xe2\x80\xa6 https://t.co/Ro0VN6moUH'"
16/08/2019 15:00,b'@lgbtqfc The 2018 version of King Lear (Anthony Hopkins) is actually pretty dope. I think it might only be on Amazon Prime though','@lgbtqfc The 2018 version of King Lear (Anthony Hopkins) is actually pretty dope. I think it might only be on Amazon Prime though'
16/08/2019 15:00,b'@stochasticnoise @jodythornton20 @RPG_volley Amazon destroyer of men is always a good look','@stochasticnoise @jodythornton20 @RPG_volley Amazon destroyer of men is always a good look'
