16/08/2019 12:00,b'@realDonaldTrump @WhiteHouse I believe you mean Tim Apple.','@realDonaldTrump @WhiteHouse I believe you mean Tim Apple.'
16/08/2019 12:00,"b'@oscar_fung Unfortunately, neither Apple nor Google seem to have a mechanism for discounting in-app purchases.\n\nI probably would otherwise!'","'@oscar_fung Unfortunately, neither Apple nor Google seem to have a mechanism for discounting in-app purchases.\n\nI probably would otherwise!'"
16/08/2019 12:00,b'@realDonaldTrump You mean Tim \xe2\x80\x9c apple\xe2\x80\x9d ????','@realDonaldTrump You mean Tim \xe2\x80\x9c apple\xe2\x80\x9d ????'
16/08/2019 12:00,b'@realDonaldTrump You mean Tim Apple.....','@realDonaldTrump You mean Tim Apple.....'
16/08/2019 12:00,"b'@realDonaldTrump Tim Apple of Cook, you mean, amiright?'","'@realDonaldTrump Tim Apple of Cook, you mean, amiright?'"
16/08/2019 12:00,b'@realDonaldTrump Please tell him we would like reasonably priced waterproof and shatterproof iPhones and iPads.  Th\xe2\x80\xa6 https://t.co/XDfGGL9raj','@realDonaldTrump Please tell him we would like reasonably priced waterproof and shatterproof iPhones and iPads.  Th\xe2\x80\xa6 https://t.co/XDfGGL9raj'
16/08/2019 12:00,b'@iPhone_News Tim Apple is ready to MAGA','@iPhone_News Tim Apple is ready to MAGA'
16/08/2019 12:00,b'@realDonaldTrump Was is Tim Apple cooking for dinner?','@realDonaldTrump Was is Tim Apple cooking for dinner?'
16/08/2019 12:00,b'@realDonaldTrump Tell Tim Apple of iPhone that we all say hello!','@realDonaldTrump Tell Tim Apple of iPhone that we all say hello!'
16/08/2019 12:00,b'Elizabeth Warren is awesome! I would vote for her! But is she really to the left of Bernie on ANY issue whatsoever? Maybe guns?','Elizabeth Warren is awesome! I would vote for her! But is she really to the left of Bernie on ANY issue whatsoever? Maybe guns?'
16/08/2019 12:00,b'@realDonaldTrump Tiny Tim Apple?','@realDonaldTrump Tiny Tim Apple?'
16/08/2019 12:00,"b'I love the month of late September and October. It\xe2\x80\x99s fall, pumpkin picking, apple picking, Halloween! So much fun!'","'I love the month of late September and October. It\xe2\x80\x99s fall, pumpkin picking, apple picking, Halloween! So much fun!'"
16/08/2019 12:00,"b'@realDonaldTrump Are you sure they didn\xe2\x80\x99t tell you Tim, your cook, is making apple strudel for dinner?'","'@realDonaldTrump Are you sure they didn\xe2\x80\x99t tell you Tim, your cook, is making apple strudel for dinner?'"
16/08/2019 12:00,b'My Apple Watch has asked me to \xe2\x80\x9cBreathe\xe2\x80\x9d 4 times already during this #Bucs game and it\xe2\x80\x99s the second game of the preseason','My Apple Watch has asked me to \xe2\x80\x9cBreathe\xe2\x80\x9d 4 times already during this #Bucs game and it\xe2\x80\x99s the second game of the preseason'
16/08/2019 12:00,"b""@WynegardDnD's bell is ringing \n\nGood morning, staff. @Iangitbiru - 504 - 7/MS - Gryffindor - Full stuff for Mango\xe2\x80\xa6 https://t.co/TBzOqvXYf6""","""@WynegardDnD's bell is ringing \n\nGood morning, staff. @Iangitbiru - 504 - 7/MS - Gryffindor - Full stuff for Mango\xe2\x80\xa6 https://t.co/TBzOqvXYf6"""
16/08/2019 12:00,b'@realDonaldTrump Tell Tim Apple we said hello!','@realDonaldTrump Tell Tim Apple we said hello!'
16/08/2019 12:00,b'@TalkinJake @TalkinYanks It wasn\xe2\x80\x99t on the apple podcast app today....','@TalkinJake @TalkinYanks It wasn\xe2\x80\x99t on the apple podcast app today....'
16/08/2019 12:00,b'@realDonaldTrump You mean Tim Apple???','@realDonaldTrump You mean Tim Apple???'
16/08/2019 12:00,b'@realDonaldTrump U mean Tim Apple!!!','@realDonaldTrump U mean Tim Apple!!!'
16/08/2019 12:00,b'@realDonaldTrump Tim Apple','@realDonaldTrump Tim Apple'
16/08/2019 15:00,"b""@realDonaldTrump Don't you mean Tim Apple of Cook?""","""@realDonaldTrump Don't you mean Tim Apple of Cook?"""
16/08/2019 15:00,b'@realDonaldTrump Tim Apple?','@realDonaldTrump Tim Apple?'
16/08/2019 15:00,b'@realDonaldTrump Are you sure ?  Tim Cook or Tim Apple?','@realDonaldTrump Are you sure ?  Tim Cook or Tim Apple?'
16/08/2019 15:00,b'@jennaezarik I always thought most features on android are gimmicks compared to Apple products. Apple implements fe\xe2\x80\xa6 https://t.co/sQ70KnxqSg','@jennaezarik I always thought most features on android are gimmicks compared to Apple products. Apple implements fe\xe2\x80\xa6 https://t.co/sQ70KnxqSg'
16/08/2019 15:00,b'@realDonaldTrump Tim Apple!','@realDonaldTrump Tim Apple!'
16/08/2019 15:00,b'I spent 1 hour and 32 minutes working out with Apple Health. 492 calories burned. #LoseIt','I spent 1 hour and 32 minutes working out with Apple Health. 492 calories burned. #LoseIt'
16/08/2019 15:00,b'@ZoraSuleman @WhiteHouse @realDonaldTrump Apple\xe2\x80\x99s Tim Apple?','@ZoraSuleman @WhiteHouse @realDonaldTrump Apple\xe2\x80\x99s Tim Apple?'
16/08/2019 15:00,"b""Tim Apple '''''''''' '''''' ''''''' ''''''' ''''' ''''''' ''''' ''''' ''''' ''''' ''''' ''''''""","""Tim Apple '''''''''' '''''' ''''''' ''''''' ''''' ''''''' ''''' ''''' ''''' ''''' ''''' ''''''"""
16/08/2019 15:00,"b""@realDonaldTrump Don't you mean Tim Apple?""","""@realDonaldTrump Don't you mean Tim Apple?"""
16/08/2019 15:00,b'@realDonaldTrump You know Apple gives money to AOC.... LMAO','@realDonaldTrump You know Apple gives money to AOC.... LMAO'
16/08/2019 15:00,b'@ffsCallumLFC Threw an apple at my mate he jumped out the way hit a teacher square on the forehead. Safe to say she\xe2\x80\xa6 https://t.co/NMUFmCIP9x','@ffsCallumLFC Threw an apple at my mate he jumped out the way hit a teacher square on the forehead. Safe to say she\xe2\x80\xa6 https://t.co/NMUFmCIP9x'
16/08/2019 15:00,b'@realDonaldTrump Ahhhh Tim Apple is coming to dinner.  Serving Burger King or McDonalds?\n#EmptySeatMAGATour #incompetent #RacistTrump','@realDonaldTrump Ahhhh Tim Apple is coming to dinner.  Serving Burger King or McDonalds?\n#EmptySeatMAGATour #incompetent #RacistTrump'
16/08/2019 15:00,b'@__dominguez23 Have you tried selling it back to Apple?','@__dominguez23 Have you tried selling it back to Apple?'
16/08/2019 15:00,"b'@realDonaldTrump Tim Apple is thrilled, I\xe2\x80\x99m sure. \xf0\x9f\x99\x84'","'@realDonaldTrump Tim Apple is thrilled, I\xe2\x80\x99m sure. \xf0\x9f\x99\x84'"
16/08/2019 15:00,b'@samstein Tim Apple?','@samstein Tim Apple?'
16/08/2019 15:00,b'@khaleesidiane I tried the apple cider vinegar for a few days and they said the side effects are losing appetites.\xe2\x80\xa6 https://t.co/x9Qgb5FrqG','@khaleesidiane I tried the apple cider vinegar for a few days and they said the side effects are losing appetites.\xe2\x80\xa6 https://t.co/x9Qgb5FrqG'
16/08/2019 15:00,b'@ratkins Apple?','@ratkins Apple?'
16/08/2019 15:00,b'me: hold on a sec I need to pee *gets up*\n\nme: *walks to the fridge and grabs apple cider* wait what just happened','me: hold on a sec I need to pee *gets up*\n\nme: *walks to the fridge and grabs apple cider* wait what just happened'
16/08/2019 15:00,b'I just want Taylor Allderdice on Apple Music @wizkhalifa','I just want Taylor Allderdice on Apple Music @wizkhalifa'
16/08/2019 15:00,b'@realDonaldTrump You shouldn\xe2\x80\x99t be have dinner \xe2\x80\x9cFat Donny\xe2\x80\x9d\xe2\x80\x9d you should be eating an Apple instead \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82','@realDonaldTrump You shouldn\xe2\x80\x99t be have dinner \xe2\x80\x9cFat Donny\xe2\x80\x9d\xe2\x80\x9d you should be eating an Apple instead \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'
16/08/2019 18:00,b'Wore my smart watch for the first time in the year I\xe2\x80\x99ve had it \xf0\x9f\x92\x81\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f during my workout it told me I was on the elli\xe2\x80\xa6 https://t.co/GncfPWFJTk','Wore my smart watch for the first time in the year I\xe2\x80\x99ve had it \xf0\x9f\x92\x81\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f during my workout it told me I was on the elli\xe2\x80\xa6 https://t.co/GncfPWFJTk'
16/08/2019 18:00,b'@realDonaldTrump Tim Apple? In Toledo?','@realDonaldTrump Tim Apple? In Toledo?'
16/08/2019 18:00,"b""@realDonaldTrump Don't you mean Tim Apple of Cook?\n\nWhen Steve Jobs was alive, Apple was alive. Now that Cook has t\xe2\x80\xa6 https://t.co/Gc549xr53m""","""@realDonaldTrump Don't you mean Tim Apple of Cook?\n\nWhen Steve Jobs was alive, Apple was alive. Now that Cook has t\xe2\x80\xa6 https://t.co/Gc549xr53m"""
16/08/2019 18:00,"b""@tl_dudley @realDonaldTrump He's thinking of TIM APPLE, the COOK.""","""@tl_dudley @realDonaldTrump He's thinking of TIM APPLE, the COOK."""
16/08/2019 18:00,b'@realDonaldTrump You mean Tim Apple - so dumb','@realDonaldTrump You mean Tim Apple - so dumb'
16/08/2019 18:00,b'@Stizmah Have this \xf0\x9f\xa4\x97\xe2\x9d\xa4\xef\xb8\x8f','@Stizmah Have this \xf0\x9f\xa4\x97\xe2\x9d\xa4\xef\xb8\x8f'
